model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_rmse,test_mae,test_r2
Ridge,20616.70826973702,772.3285543899268,13508.843119358713,480.3609212759083,0.8925350009994751,0.013535917203430973,18899.182942053096,13544.408958550035,0.9510867954763171
MLP_v2,22850.717876125585,1074.0054666811911,14938.99653501879,1047.128034816452,0.8676118339263841,0.020481661495522396,19750.219043297486,14299.907193755123,0.9465824590490457
RandomForest,18687.778203554946,1463.7153615167354,11374.818741678422,904.170831842613,0.9109436110143836,0.018086279663575122,23678.319670854522,12900.526212859631,0.9232211120875661
DummyRegressor,63407.58921141493,2744.891776860487,42614.173500221295,1820.671897245787,-0.008105669535170935,0.009222244536751602,86279.19118969254,53148.97413295987,-0.019417744475063614
MLP_v1,106240.5772868394,3623.991891527773,85346.86481056224,4548.265487893405,-1.8457019745106735,0.278036837804821,129456.74813198067,97251.30963482657,-1.2950357007839193
