raw_feature,importance
rating,0.4000693069896927
display_width_px,0.13925834971485762
gpu_vram_gb,0.11493732203588033
ram_gb,0.08268218220051829
display_height_px,0.07434018732686785
cpu_core_count,0.07416388053367116
brand,0.03131985952518999
storage_gb,0.017396927003376587
cpu_thread_count,0.016808464712266633
display_size_inch,0.012020722614372368
device_category,0.011484131366993127
gpu_brand,0.007901333217643464
gpu_type,0.006525864612805646
cpu_family,0.005316982100577004
cpu_brand,0.002289583138024178
warranty_years,0.0020845702954714854
os_name,0.0014003326117918236
