model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_rmse,test_mae,test_r2
MLP_v2_feature_set_b_no_rating,22350.969470097414,1672.6948110342657,13989.950000657253,909.909382595238,0.8720642954622553,0.029461517567444723,19807.768337109734,13773.205152762825,0.9462707034624029
Ridge_feature_set_b_no_rating,20155.720848007946,1059.48362966545,12549.13993412476,635.3319223820283,0.8973677739460795,0.013065146972859753,19851.97186376855,12829.056046299664,0.9460306285146112
RandomForest_feature_set_b_no_rating,18200.873091057132,1296.293095011912,10700.557662935924,830.8480699091759,0.915508243552209,0.017085884637989875,23872.310760396922,12162.190306889426,0.9219578946273159
