model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_rmse,test_mae,test_r2
MLP_v2_feature_set_b,21932.94111938797,1615.1001550230583,13784.012662850122,811.3799601121966,0.8770540854881658,0.027499523778768662,17937.83603032341,12231.072114284885,0.9559363815475361
Ridge_feature_set_b,19892.260923861006,1097.2500368564833,12599.6740722766,609.6025579535535,0.8999731255084173,0.013237669817619105,18675.55152671381,12834.102468493544,0.9522375131702159
RandomForest_feature_set_b,18226.62805586798,1485.2267082590522,10941.596124107245,882.489853421578,0.9152581523181322,0.01755680644623404,23586.17952725661,12630.23450162791,0.9238174933688789
