model,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_rmse,test_mae,test_r2
Ridge,20616.70826973702,772.3285543899268,13508.843119358713,480.3609212759083,0.8925350009994751,0.013535917203430973,18899.182942053096,13544.408958550035,0.9510867954763171
RandomForest,18687.778203554946,1463.7153615167354,11374.81874167842,904.1708318426112,0.9109436110143836,0.018086279663575122,23678.319670854522,12900.526212859635,0.9232211120875661
DummyRegressor,63407.58921141493,2744.891776860487,42614.173500221295,1820.671897245787,-0.008105669535170935,0.009222244536751602,86279.19118969254,53148.97413295987,-0.019417744475063614
