brand,model,device_category,price,rating,cpu_brand,cpu_family,cpu_series,cpu_model,cpu_suffix,cpu_core_count,cpu_thread_count,cpu_p_cores,cpu_e_cores,cpu_lp_e_cores,ram_gb,storage_gb,display_width_px,display_height_px,display_size_inch,gpu_brand,gpu_series,gpu_model,gpu_vram_gb,gpu_type,os_name,warranty_years
asus,Asus Vivobook 15 X1504VA-NJ1765WS,Thin & Light,44990,54,Intel,Core,Core I5,1334U,U,10,12,2,8,,16,512,1920,1080,15,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
hp,HP OmniBook 5 16-ba1008TU,General,64990,53,Intel,Core,Core I5,1334U,U,10,12,2,8,,16,512,1920,1200,16,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
dell,Dell Inspiron 13 AI,General,100990,59,Intel,Core Ultra,Core Ultra 7,155H,H,16,22,6,8,2,16,1024,2560,1600,13,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus TUF Gaming F16 FX677VU-RL155WS,Gaming,93990,70,Intel,Core,Core I7,13620H,H,10,16,6,4,,16,512,1920,1200,16,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,1
msi,MSI Raider 18 HX AI A2XWIG-255IN Gaming,Gaming,429990,97,Intel,Core,Core I9,14900HX,HX,24,32,8,16,,64,4096,3840,2400,18,NVIDIA,GeForce RTX,RTX 5080,16,Dedicated,Windows,2
lenovo,Lenovo Yoga Slim 7 14AKP10 83JY000UIN,Convertible,113990,55,AMD,Ryzen,Ryzen Ai 7,350,,8,16,,,,32,1024,1920,1200,14,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 5 14AKP10 2025 83HX001NIN,Thin & Light,86990,46,AMD,Ryzen,Ryzen Ai 7,350,,8,16,,,,24,1024,1920,1200,14,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 ‎14IAH8 83EQ0074IN,Thin & Light,55900,57,Intel,Core,Core I5,12450H,H,8,12,4,4,,16,512,1920,1080,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P3 P3405CVA-LY0015WS,General,59990,57,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1200,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Vivobook S14 2025 S3407VA-LY037WS,Thin & Light,58990,60,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1200,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Vivobook S14 2025 S3407VA-LY040WS,Thin & Light,68990,62,Intel,Core,Core I7,13620H,H,10,16,6,4,,16,512,1920,1200,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,ASUS Vivobook S14 Flip 2025 TP3402VAO-LZ612WS,Convertible,66990,61,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1200,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P5 P5405CSA-NZ0583WS,General,84990,68,Intel,Core Ultra,Core Ultra 5,226V,V,8,8,4,,4,32,1024,2560,1600,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Expertbook P1 14 P1403CVA-S60940WS,General,72990,64,Intel,Core,Core I7,13620H,H,10,16,6,4,,32,512,1920,1080,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P1 14 P1403CVA-S60939WS,General,58990,62,Intel,Core,Core I5,13420H,H,8,12,4,4,,32,512,1920,1080,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P1 14 P1403CVA-S60343WS,General,36990,57,Intel,Core,Core I3,1315U,U,6,8,2,4,,8,512,1920,1080,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P1 P1503CVA-S71074WS,General,38990,57,Intel,Core,Core I3,1315U,U,6,8,2,4,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P1 14 P1403CVA-S60938WS,General,38990,60,Intel,Core,Core I3,1315U,U,6,8,2,4,,16,512,1920,1080,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P1 P1503CVA-S70501WS,General,36990,55,Intel,Core,Core I3,1315U,U,6,8,2,4,,8,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P1 P1503CVA-S70611WS,General,51990,56,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Expertbook P1 P1503CVA-S71042WS,General,65990,59,Intel,Core,Core I7,13620H,H,10,16,6,4,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
hp,HP Omen 16-wf0262TX Gaming,Gaming,134990,74,Intel,Core,Core I7,13700HX,HX,16,24,8,8,,16,1024,1920,1080,16,NVIDIA,GeForce RTX,RTX 4070,8,Dedicated,Windows,1
msi,MSI Thin 15 B13UCX-2472IN Gaming,Gaming,57990,64,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 2050,4,Dedicated,Windows,1
motorola,Motorola Motobook 60 83J7000DIN,General,66990,60,Intel,Core,Core 7,240H,H,10,16,6,4,,16,1024,2880,1880,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
motorola,Motorola Motobook 60 83J70008IN,General,64990,59,Intel,Core,Core 7,240H,H,10,16,6,4,,16,512,2880,1880,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
hp,HP 14-gr0002TU,General,54489,54,Intel,Core,Core I5,1335U,U,10,12,2,8,,16,512,1920,1080,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
asus,Asus Vivobook 16 X1605VA-MB1627WS,Thin & Light,55670,57,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1200,16,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
msi,MSI Titan 18 HX AI A2XWJG-486IN Gaming,Gaming,605990,98,Intel,Core Ultra,Core Ultra 9,285HX,HX,24,24,8,16,,64,6144,3840,2400,18,NVIDIA,GeForce RTX,RTX 5090,24,Dedicated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 15ABR8 82XM00MUIN,Thin & Light,47990,60,AMD,Ryzen,Ryzen 7,5825U,U,8,16,,,,16,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 5 13ARP10 83J2003NIN,Thin & Light,64990,61,AMD,Ryzen,Ryzen 7,7735HS,HS,8,16,,,,16,512,1920,1200,13,AMD,Radeon,Radeon,,Integrated,Windows,1
msi,MSI Vector 16 HX A2XWHG-227IN Gaming,Gaming,226990,91,Intel,Core Ultra,Core Ultra 7,255HX,HX,20,20,8,12,,32,1024,2560,1600,16,NVIDIA,GeForce RTX,RTX 5070 Ti,12,Dedicated,Windows,2
lenovo,Lenovo IdeaPad Slim 3 15ABR8 82XM00UFIN,Thin & Light,42990,57,AMD,Ryzen,Ryzen 5,5625U,U,6,12,,,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
hp,HP Victus 15-fb3011AX Gaming,Gaming,64990,68,AMD,Ryzen,Ryzen 5,5600H,H,6,12,,,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 15IRH10 83K100CFIN,Thin & Light,55000,51,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1200,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
hp,HP Victus 15-fa2701TX Gaming,Gaming,74880,65,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,1
asus,Asus Vivobook 16 X1605VA-MB1275WS,Thin & Light,61990,60,Intel,Core,Core I7,13620H,H,10,16,6,4,,16,512,1920,1200,16,Intel,UHD,UHD Graphics,,Integrated,Windows,1
hp,HP 240 G10 ‎B10LVPT Business,General,49990,46,Intel,Core,Core I5,1335U,U,10,12,2,8,,8,512,1366,768,14,Intel,UHD,UHD Graphics,,Integrated,DOS,1
motorola,Motorola Motobook 60,General,54990,56,Intel,Core,Core 5,210H,H,8,12,4,4,,16,512,2880,1880,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
hp,HP OmniBook 7 Aero 13-bg1678AU Next Gen AI,General,80499,56,AMD,Ryzen,Ryzen Ai 5,340,,8,16,0,8,0,16,512,2560,1600,13,AMD,Radeon,Radeon,,Integrated,Windows,1
hp,HP OmniBook X Flip 14-fm0058TU Next Gen AI PC,Convertible,94087,71,Intel,Core Ultra,Core Ultra 5,226V,V,8,8,4,,4,16,512,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
hp,HP OmniBook X Flip 14-fm0029TU Next Gen AI,Convertible,138999,74,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,32,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
hp,HP OmniBook X Flip 14-fm0026TU Next Gen AI PC,Convertible,114499,70,Intel,Core Ultra,Core Ultra 7,256V,V,8,8,4,,4,16,512,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
dell,Dell XPS 14 9440 AI,General,351493,86,Intel,Core Ultra,Core Ultra 7,155H,H,16,22,6,8,2,32,1024,3200,2000,14,NVIDIA,GeForce RTX,RTX 4060,8,Dedicated,Windows,1
hp,HP Omen 16 Max 16-ah0076TX Gaming,Gaming,309990,96,Intel,Core Ultra,Core Ultra 9,275HX,HX,24,24,8,16,,32,1024,2560,1600,16,NVIDIA,GeForce RTX,RTX 5080,16,Dedicated,Windows,1
hp,HP OmniBook 5 Next Gen AI 16-ag1037au,General,65094,53,AMD,Ryzen,Ryzen Ai 5,340,,8,16,0,8,0,16,512,1920,1200,16,AMD,Radeon,Radeon,,Integrated,Windows,1
hp,HP OmniBook 5 Next Gen AI 16-ag1048AU,General,81990,54,AMD,Ryzen,Ryzen Ai 7,350,,8,16,,,,16,512,1920,1200,16,AMD,Radeon,Radeon,,Integrated,Windows,1
hp,HP Victus 15-fb3012AX Gaming,Gaming,65990,72,AMD,Ryzen,Ryzen 5,8645HS,HS,6,12,,,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
lenovo,Lenovo LOQ 15IAX9 83LK0068IN Gaming,Gaming,95090,66,Intel,Core,Core I7,12650HX,HX,14,20,6,8,,12,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,1
lenovo,Lenovo IdeaPad 3 ‎14IAU7 82RJ00G0IN,General,35490,53,Intel,Core,Core I3,1215U,U,6,8,2,4,,8,512,1920,1080,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
msi,MSI Katana 15 B13VEK-2220IN Gaming,Gaming,102990,69,Intel,Core,Core I7,13700H,H,14,20,6,8,,16,1024,1920,1080,15,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,2
lenovo,Lenovo IdeaPad Slim 3 15IRU8 82X700F0IN,Thin & Light,34889,51,Intel,Core,Core I3,1315U,U,6,8,2,4,,8,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
dell,Dell Inspiron 7640 AI,General,92990,55,Intel,Core Ultra,Core Ultra 5,125H,H,14,18,4,8,2,16,1024,1920,1200,16,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
ultimus,Ultimus Pro NU14U6INC43BN-CS,General,12490,38,Intel,Celeron,Celeron,N4020C,C,2,2,,,,4,128,1366,768,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
asus,Asus Vivobook 15 X1504VA-NJ2217WS,Thin & Light,48990,54,Intel,Core,Core I5,1334U,U,10,12,2,8,,16,512,1920,1080,15,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
msi,MSI Modern 14 C12MO-1299IN,General,45990,52,Intel,Core,Core I5,1235U,U,10,12,2,8,,16,512,1920,1080,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
asus,Asus Zenbook S16 OLED 2025 UM5606KA-RJ108WS,General,127586,66,AMD,Ryzen,Ryzen Ai 7,350,,8,16,,,,24,1024,2880,1800,16,AMD,Radeon,Radeon,,Integrated,Windows,1
msi,MSI Modern 15 B12MO-1051IN,General,42990,56,Intel,Core,Core I5,1235U,U,10,12,2,8,,8,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
msi,MSI Modern 15 B7M-427IN,General,44990,57,AMD,Ryzen,Ryzen 5,7530U,U,6,12,,,,16,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 82XM00QDIN,Thin & Light,42490,63,AMD,Ryzen,Ryzen 5,5625U,U,6,12,,,,16,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
