brand,model,device_category,price,rating,cpu_brand,cpu_family,cpu_series,cpu_model,cpu_suffix,cpu_core_count,cpu_thread_count,cpu_p_cores,cpu_e_cores,cpu_lp_e_cores,ram_gb,storage_gb,display_width_px,display_height_px,display_size_inch,gpu_brand,gpu_series,gpu_model,gpu_vram_gb,gpu_type,os_name,warranty_years
hp,HP Pavilion x360 14-ek1149TU,Convertible,88699,61,Intel,Core,Core I5,1335U,U,10,12,2,8,,16,1024,1920,1080,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
asus,Asus Vivobook 16 X1605VA-MB1628WS,Thin & Light,66890,54,Intel,Core,Core I7,13620H,H,10,16,6,4,,16,512,1920,1200,16,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
asus,Asus TUF Gaming A15 FA566NCR-HN254WS,Gaming,67400,66,AMD,Ryzen,Ryzen 7,7435HS,HS,8,16,,,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,4,Dedicated,Windows,1
asus,Asus TUF Gaming F16 FX607VB-RL087WS,Gaming,70990,61,Intel,Core,Core 5,210H,H,8,12,4,4,,16,512,1920,1200,16,NVIDIA,GeForce RTX,RTX 3050A,4,Dedicated,Windows,1
asus,Asus TUF Gaming F16 FX607VB-RL076WS,Gaming,70990,61,Intel,Core,Core 5,210H,H,8,12,4,4,,16,512,1920,1200,16,NVIDIA,GeForce RTX,RTX 3050A,4,Dedicated,Windows,1
asus,Asus TUF Gaming A14 FA401WV-RG475WS Gaming,Gaming,149990,55,AMD,Ryzen,Ryzen Ai 9,HX370,,12,24,,,,16,1024,2560,1600,14,NVIDIA,GeForce RTX,RTX 4060,8,Dedicated,Windows,1
lenovo,Lenovo IdeaPad 3 15IAU7 82RK019GIN,General,32990,54,Intel,Core,Core I3,1215U,U,6,8,2,4,,8,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Vivobook Go 15 E1504FA-NJ131WS,Thin & Light,30740,50,AMD,Ryzen,Ryzen 3,7320U,U,4,8,,,,8,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
asus,Asus Vivobook Go 15 E1504FA-NJ132WS,Thin & Light,34750,51,AMD,Ryzen,Ryzen 5,7520U,U,4,8,,,,8,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo Legion 5 15IRX9 83JJ0010IN Gaming,Gaming,122990,70,Intel,Core,Core I7,13650HX,HX,14,20,6,8,,24,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 4060,8,Dedicated,Windows,1
samsung,Samsung Galaxy Book 5 Pro NP940XHA-LG1IN,General,131990,70,Intel,Core Ultra,Core Ultra 5,226V,V,8,8,4,,4,16,512,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 Pro np940xha-lg3in/,General,171990,75,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,32,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 Pro 16 NP960XHA-LG3IN,General,181990,75,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,32,1024,2880,1800,16,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 Pro 360 np960qha-kg3in,General,155990,68,Intel,Core Ultra,Core Ultra 5,226V,V,8,8,4,,4,16,512,2880,1800,16,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 360 np750qha-lg1in,General,107990,61,Intel,Core Ultra,Core Ultra 5,226V,V,8,8,4,,4,16,512,1920,1080,15,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 Pro 360 np960qha-kg4in,General,195990,77,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,32,1024,2880,1800,16,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 Pro 360 np960qha-kg1in,General,163990,71,Intel,Core Ultra,Core Ultra 7,256V,V,8,8,4,,4,16,512,2880,1800,16,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 Pro np940xha-lg2in,General,139990,70,Intel,Core Ultra,Core Ultra 7,256V,V,8,8,4,,4,16,512,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 360 np750qha-lg4in,General,154990,72,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,32,1024,1920,1080,15,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 360 NP750QHA-LG3IN,General,134999,70,Intel,Core Ultra,Core Ultra 7,256V,V,8,8,4,,4,16,1024,1920,1080,15,Intel,Arc,Arc Graphics,,Integrated,Windows,1
samsung,Samsung Galaxy Book 5 360 NP750QHA-LG2IN,General,122990,69,Intel,Core Ultra,Core Ultra 7,256V,V,8,8,4,,4,16,512,1920,1080,15,Intel,Arc,Arc Graphics,,Integrated,Windows,1
acer,Acer ALG ‎AL15G-53 15 Gaming,Gaming,62115,62,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
acer,Acer ALG 15 ‎AL15G-53 Gaming,Gaming,66999,62,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,1024,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
acer,Acer 16 Predator Helios 16 ‎PH16-72 Gaming,Gaming,155000,79,Intel,Core,Core I7,14700HX,HX,20,28,8,12,,16,1024,2560,1600,16,NVIDIA,GeForce RTX,RTX 4070,8,Dedicated,Windows,1
lenovo,Lenovo Yoga Slim 7 14Q8X9 83ED0065IN,Convertible,92990,60,Snapdragon,Snapdragon,Snapdragon X,Plus X1P-64-100,,10,10,,,,32,1024,2944,1840,14,Qualcomm,Adreno,Adreno GPU,,Integrated,Windows,1
lenovo,Lenovo LOQ 2024 15IRX9 83DV00X4IN Gaming,Gaming,87990,66,Intel,Core,Core I5,13450HX,HX,10,16,6,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,1
apple,Apple MacBook Air M4 2025 15,Thin & Light,157490,52,Apple,M-Series,M4,M4,,10,10,4,6,,24,512,2880,1864,15,Apple,Apple GPU,Apple 10-Core GPU,,Integrated,Mac,1
apple,Apple MacBook Air 2025 15,Thin & Light,138490,50,Apple,M-Series,M4,M4,,10,10,4,6,,16,512,2880,1864,15,Apple,Apple GPU,Apple 10-Core GPU,,Integrated,Mac,1
apple,Apple MacBook Air 15 2025,Thin & Light,119490,46,Apple,M-Series,M4,M4,,10,10,4,6,,16,256,2880,1864,15,Apple,Apple GPU,Apple 10-Core GPU,,Integrated,Mac,1
apple,Apple MacBook Air 2025 (M4 / 24GB / 512GB / Apple 10-Core GPU / Mac),Thin & Light,130900,50,Apple,M-Series,M4,M4,,10,10,4,6,,24,512,2560,1664,13,Apple,Apple GPU,Apple 10-Core GPU,,Integrated,Mac,1
apple,Apple MacBook Air 2025 (M4 / 16GB / 512GB / Apple 10-Core GPU / Mac),Thin & Light,110900,47,Apple,M-Series,M4,M4,,10,10,4,6,,16,512,2560,1664,13,Apple,Apple GPU,Apple 10-Core GPU,,Integrated,Mac,1
asus,Asus VivoBook 14 X1404VA-NK804WS,Thin & Light,43990,52,Intel,Core,Core I5,1334U,U,10,12,2,8,,8,512,1920,1080,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
asus,Asus VivoBook 14 X1404VA-NK760WS,Thin & Light,34750,52,Intel,Core,Core I3,1315U,U,6,8,2,4,,8,512,1920,1080,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
asus,Asus Vivobook 15 X1502VA-BQ837WS,Thin & Light,64990,52,Intel,Core,Core I7,13620H,H,10,16,6,4,,16,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
asus,Asus Vivobook 15 X1502VA-BQ838WS,Thin & Light,64990,52,Intel,Core,Core I7,13620H,H,10,16,6,4,,16,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
hp,HP Victus 15-fb2703tx Gaming,Gaming,65047,63,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 2050,4,Dedicated,Windows,1
hp,HP Victus 15-FA1415TX  Gaming,Gaming,75119,63,Intel,Core,Core I7,12650H,H,10,16,6,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050A,4,Dedicated,Windows,1
msi,MSI Modern 14 C12MO-1248IN,General,35999,54,Intel,Core,Core I3,1215U,U,6,8,2,4,,16,512,1920,1080,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
hp,HP Zbook Firefly 14 G10 918R5PA Workstation,General,87999,64,Intel,Core,Core I5,1335U,U,10,12,2,8,,16,512,1920,1200,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,3
hp,HP Pavilion AI 14-ew1112TU,General,78990,64,Intel,Core Ultra,Core Ultra 5,125H,H,14,18,4,8,2,16,512,2560,1600,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
hp,HP Pavilion x360 14-ek1148TU,Convertible,74490,60,Intel,Core,Core I5,1335U,U,10,12,2,8,,16,512,1920,1080,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
hp,HP Pavilion x360 14-ek1151TU,Convertible,73490,66,Intel,Core,Core I5,1335U,U,10,12,2,8,,16,1024,1920,1080,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
lenovo,Lenovo LOQ ‎15IRX9 83DV00XEIN Gaming,Gaming,91790,66,Intel,Core,Core I7,13650HX,HX,14,20,6,8,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
lenovo,Lenovo LOQ 15IAX9 83GS00LJIN Gaming,Gaming,58770,62,Intel,Core,Core I5,12450HX,HX,8,12,4,4,,12,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 2050,4,Dedicated,Windows,1
hp,HP Pavilion Plus 14-ew0107TU,General,61999,57,Intel,Core,Core I5,1335U,U,10,12,2,8,,16,512,1920,1200,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
hp,HP 15-fd0466tu,General,46290,52,Intel,Core,Core I5,1334U,U,10,12,2,8,,8,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
lenovo,Lenovo LOQ 15IAX9 83GS00LLIN Gaming,Gaming,74990,65,Intel,Core,Core I5,12450HX,HX,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
asus,Asus Zenbook A14 UX3407RA-QD054WS,Thin & Light,89990,53,Snapdragon,Snapdragon,Snapdragon X,Elite X1E 78 100,,12,12,,,,16,512,1920,1200,14,Qualcomm,Adreno,Adreno GPU,,Integrated,Windows,1
asus,Asus Zenbook A14 UX3407QA-QD259WS,Thin & Light,83990,51,Snapdragon,Snapdragon,Snapdragon X,X1 26 100,,10,10,,,,16,512,1920,1200,14,Qualcomm,Adreno,Adreno GPU,,Integrated,Windows,1
asus,Asus Vivobook 16 X1607QA-MB050WS,Thin & Light,58990,43,Snapdragon,Snapdragon,Snapdragon X,X1 26 100,,10,10,,,,16,512,1920,1200,16,Qualcomm,Adreno,Adreno GPU,,Integrated,Windows,1
dell,Dell Inspiron 5640,General,63990,60,Intel,Core,Core I5,1334U,U,10,12,2,8,,16,512,1920,1200,16,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
asus,Asus Vivobook 16X K3605VC-RP413WS,Thin & Light,64950,60,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1200,16,NVIDIA,GeForce RTX,RTX 3050,4,Dedicated,Windows,1
asus,Asus Vivobook Go 14 E1404FA-NK3321WS,Thin & Light,30990,50,AMD,Ryzen,Ryzen 3,7320U,U,4,8,,,,8,512,1920,1080,14,AMD,Radeon,Radeon,,Integrated,Windows,1
asus,Asus Vivobook 15 X1504VA-NJ2325WS,Thin & Light,38990,48,Intel,Core,Core I3,1315U,U,6,8,2,4,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
asus,Asus Vivobook Go 14 E1404FA-NK5542WS,Thin & Light,40990,55,AMD,Ryzen,Ryzen 5,7520U,U,4,8,,,,16,512,1920,1080,14,AMD,Radeon,Radeon,,Integrated,Windows,1
hp,HP Victus 15-fb3003AX Gaming,Gaming,61900,70,AMD,Ryzen,Ryzen 5,8645HS,HS,6,12,,,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 2050,4,Dedicated,Windows,1
lenovo,Lenovo IdeaPad Slim 5 13ARP10 83J2000HIN,Thin & Light,59699,59,AMD,Ryzen,Ryzen 7,7735HS,HS,8,16,,,,16,512,1920,1200,13,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo ThinkPad E14 21JRS0JH00,Business,48990,64,AMD,Ryzen,Ryzen 5,7530U,U,6,12,,,,8,512,1920,1200,14,AMD,Radeon,Radeon,,Integrated,Windows,1
hp,HP Victus 15-fa2700TX  Gaming,Gaming,67990,62,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
hp,HP Victus 15-fa2703TX Gaming,Gaming,64490,61,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 2050,4,Dedicated,Windows,1
hp,HP 15-fd0492TU,General,56900,55,Intel,Core,Core I5,1334U,U,10,12,2,8,,16,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
asus,Asus Vivobook S 14 OLED 2025 S5406SA-QD094WS,Thin & Light,99990,65,Intel,Core Ultra,Core Ultra 7,256V,V,8,8,4,,4,16,512,1920,1200,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Vivobook S 14 OLED 2025 S5406SA-QD098WS,Thin & Light,84990,59,Intel,Core Ultra,Core Ultra 5,226V,V,8,8,4,,4,16,512,1920,1200,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Vivobook 14 2025 X1407CA-LY102WS,Thin & Light,66990,65,Intel,Core Ultra,Core Ultra 5,225H,H,14,14,4,8,2,16,512,1920,1200,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Gaming V16 2025 V3607VU-RP550WS,Gaming,77890,62,Intel,Core,Core 5,210H,H,8,12,4,4,,16,512,1920,1200,16,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,1
asus,Asus Vivobook 14 Flip TP3407SA-QL025WS,Convertible,101990,66,Intel,Core Ultra,Core Ultra 7,256V,V,8,8,4,,4,16,512,1920,1200,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Zenbook Duo OLED 2025 UX8406CA-PZ106WS,General,244980,84,Intel,Core Ultra,Core Ultra 9,285H,H,16,16,6,8,2,32,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Gaming V16 V3607VU-RP275WS,Gaming,86990,63,Intel,Core,Core 7,240H,H,10,16,6,4,,16,512,1920,1200,16,NVIDIA,GeForce RTX,RTX 4050,6,Dedicated,Windows,1
asus,Asus Zenbook 14 OLED 2025 UX3405CA-PZ348WS,General,117990,79,Intel,Core Ultra,Core Ultra 7,255H,H,16,16,6,8,2,32,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Vivobook 16 2025 X1607CA-MB142WS,Thin & Light,69990,64,Intel,Core Ultra,Core Ultra 5,225H,H,14,14,4,8,2,16,512,1920,1200,16,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
asus,Asus Zenbook 14 OLED 2025 UX3405CA-PZ162WS,General,93749,72,Intel,Core Ultra,Core Ultra 5,225H,H,14,14,4,8,2,16,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Zenbook 14 OLED 2025 UX3405CA-PZ164WS,General,126990,81,Intel,Core Ultra,Core Ultra 9,285H,H,16,16,6,8,2,32,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Zenbook 14 OLED 2025 UX3405CA-PZ163WS,General,117990,79,Intel,Core Ultra,Core Ultra 7,255H,H,16,16,6,8,2,32,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
hp,HP 255 G10 (7520UU / 8GB / 512GB / Radeon / Windows),General,31981,50,AMD,Ryzen,Ryzen 5,7520U,U,4,8,,,,8,512,1366,768,15,AMD,Radeon,Radeon,,Integrated,Windows,1
asus,Asus Vivobook 16 X1605VA-MB9946WS,Thin & Light,67999,64,Intel,Core,Core I9,13900H,H,14,20,6,8,,16,512,1920,1200,16,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
asus,Asus Vivobook Go 15 E510KA-EJ9011WS,Thin & Light,24990,43,Intel,Celeron,Celeron,N4500,,2,2,,,,8,512,1920,1080,15,Intel,HD,HD Graphics,,Integrated,Windows,1
dell,Dell Inspiron 15 3535,General,41994,52,AMD,Ryzen,Ryzen 5,7530U,U,6,12,,,,16,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
hp,HP ‎15-fd0465TU,General,35800,53,Intel,Core,Core I3,1315U,U,6,8,2,4,,8,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
hp,HP ‎15-fd0467TU,General,51900,57,Intel,Core,Core I5,1334U,U,10,12,2,8,,16,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
hp,HP Victus 15-fb3025AX Gaming,Gaming,101495,77,AMD,Ryzen,Ryzen 9,8945HS,HS,8,16,,,,16,1024,1920,1080,15,NVIDIA,GeForce RTX,RTX 4060,8,Dedicated,Windows,1
asus,Asus Vivobook 14 Flip TP3407SA-QL024WS,Convertible,84990,60,Intel,Core Ultra,Core Ultra 5,226V,V,8,8,4,,4,16,512,1920,1200,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
asus,Asus Vivobook 15 X1502VA-BQ836WS,Thin & Light,53990,52,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
lenovo,Lenovo IdeaPad 5 14IRH9 83KX0059IN,General,73490,55,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1200,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
hp,HP Victus FA1198TX Gaming,Gaming,72990,63,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 15AMN8 82XQ00MCIN,Thin & Light,34490,53,AMD,Ryzen,Ryzen 3,7320U,U,4,8,,,,8,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo IdeaPad 5 14IRH9 83KX0058IN,General,73490,55,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1200,14,Intel,UHD,UHD Graphics,,Integrated,Windows,1
acer,Acer Aspire 3 A311-45 UN.354SI.004,General,17990,42,Intel,Celeron,Celeron,N4500,,2,2,,,,8,256,1366,768,11,Intel,UHD,UHD Graphics,,Integrated,Windows,1
acer,Acer Aspire 3 A311-45 UN.354SI.002,General,22899,43,Intel,Celeron,Celeron,N4500,,2,2,,,,8,512,1366,768,11,Intel,UHD,UHD Graphics,,Integrated,Windows,1
acer,Acer Aspire 3 A311-45 UN.354SI.006,General,15990,41,Intel,Celeron,Celeron,N4500,,2,2,,,,8,128,1366,768,11,Intel,UHD,UHD Graphics,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 15IAH8 83ER00KRIN,Thin & Light,45750,57,Intel,Core,Core I5,12450H,H,8,12,4,4,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
acer,Acer TravelMate TMP214-54,General,60990,62,Intel,Core,Core I7,1255U,U,10,12,2,8,,16,512,1920,1080,14,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
dell,Dell Latitude 15 3540,Business,35190,45,Intel,Core,Core I3,1215U,U,6,8,2,4,,8,512,1366,768,15,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
acer,Acer 15 Aspire Lite AL15-52H,General,48999,57,Intel,Core,Core I5,12450H,H,8,12,4,4,,16,1024,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
lenovo,Lenovo ThinkPad T15g 20YSS01J00,Business,122000,63,Intel,Core,Core I9,11950H,H,8,16,8,0,0,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3070,8,Dedicated,Windows,1
lenovo,Lenovo IdeaPad 1 15ALC7 82R4010DIN,General,39000,60,AMD,Ryzen,Ryzen 5,5625U,U,6,12,,,,16,512,1920,1080,15,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 1 ‎15IGL7 82V700KHIN,Thin & Light,26890,47,Intel,Celeron,Celeron,N4020,,2,2,,,,8,512,1366,768,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
acer,Acer 15 TravelMate TMP215-53 Business,General,38719,59,Intel,Core,Core I3,1115G4,,2,4,,,,16,512,1920,1080,15,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
acer,Acer TravelMate TMP215-53 Business,General,39990,57,Intel,Core,Core I3,1115G4,,2,4,,,,16,256,1920,1080,15,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 15IAH8 83ER00KPIN,Thin & Light,47000,56,Intel,Core,Core I5,12450H,H,8,12,4,4,,16,512,1920,1080,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 5 83DC008VIN,Thin & Light,86990,54,Intel,Core Ultra,Core Ultra 7,155H,H,16,22,6,8,2,16,1024,1920,1200,16,Intel,Arc,Arc Graphics,,Integrated,Windows,1
msi,MSI Prestige 13 AI Plus Evo A2VMG-023IN,General,119990,71,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,32,1024,2880,1800,13,Intel,Arc,Arc Graphics,,Integrated,Windows,2
msi,MSI Thin 15 B12UC-2240IN Gaming,Gaming,63495,70,Intel,Core,Core I7,12650H,H,10,16,6,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,4,Dedicated,Windows,2
asus,Asus Zenbook 14 OLED UX3405MA-PP555WS,General,89999,63,Intel,Core Ultra,Core Ultra 5,125H,H,14,18,4,8,2,16,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
msi,MSI Thin 15 B12UC-2242IN Gaming,Gaming,60990,65,Intel,Core,Core I7,12650H,H,10,16,6,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 2050,4,Dedicated,Windows,2
asus,Asus ROG Strix SCAR 16 (2025) G635LX-RW158WS Gaming,Gaming,424990,98,Intel,Core Ultra,Core Ultra 9,275HX,HX,24,24,8,16,,32,2048,2560,1600,16,NVIDIA,GeForce RTX,RTX 5090,24,Dedicated,Windows,1
dell,Dell Vostro 3440,Business,53490,57,Intel,Core,Core I5,1334U,U,10,12,2,8,,8,512,1920,1080,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
dell,Dell Latitude 14 3440,Business,58990,48,Intel,Core,Core I5,1235U,U,10,12,2,8,,8,512,1366,768,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
lenovo,Lenovo Yoga Pro 7 83HN0027IN AI,Convertible,128900,62,AMD,Ryzen,Ryzen Ai 9,365,,10,20,4,6,,32,1024,2880,1800,14,AMD,Radeon,Radeon,,Integrated,Windows,1
lenovo,Lenovo IdeaPad Slim 3 83EM00H0IN,Thin & Light,54570,55,Intel,Core,Core I5,13420H,H,8,12,4,4,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
acer,Acer Aspire Lite AL15-53 (1334UU / 16GB / 512GB / UHD Graphics / Windows),General,43290,56,Intel,Core,Core I5,1334U,U,10,12,2,8,,16,512,1920,1080,15,Intel,UHD,UHD Graphics,,Integrated,Windows,1
lenovo,Lenovo LOQ ‎15IRX9 83DV00XCIN Gaming,Gaming,78700,66,Intel,Core,Core I5,13450HX,HX,10,16,6,4,,16,512,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,6,Dedicated,Windows,1
msi,MSI Thin 15 B12UC-2239IN Gaming,Gaming,72990,60,Intel,Core,Core I7,12650H,H,10,16,6,4,,16,1024,1920,1080,15,NVIDIA,GeForce RTX,RTX 3050,4,Dedicated,Windows,2
hp,HP 255 G10 B15J0PT,General,33151,45,AMD,Ryzen,Ryzen 5,7520U,U,4,8,,,,8,512,1366,768,15,AMD,Radeon,Radeon,,Integrated,DOS,1
dell,Dell 15 Latitude 3540 (1215UU / 8GB / 512GB / Integrated Graphics / Ubuntu),Business,35190,43,Intel,Core,Core I3,1215U,U,6,8,2,4,,8,512,1366,768,15,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Ubuntu,1
hp,HP ZBook Firefly 16 G11 A1VX6PT,General,143999,72,Intel,Core Ultra,Core Ultra 7,155H,H,16,22,6,8,2,16,1024,1920,1200,16,NVIDIA,GeForce RTX,RTX A500,4,Dedicated,Windows,1
dell,Dell Latitude 3450 (1335UU / 16GB / 512GB / Integrated Graphics / Windows),Business,65900,48,Intel,Core,Core I5,1335U,U,10,12,2,8,0,16,512,1920,1080,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
hp,HP EliteBook 840 G10,Business,101990,52,Intel,Core,Core I5,1335U,U,10,12,2,8,,16,512,1920,1200,15,Intel,Iris Xe,Iris Xe Graphics,,Integrated,Windows,1
dell,Dell 9350 XPS 13,General,180490,66,Intel,Core Ultra,Core Ultra 7,256V,V,8,8,4,4,,16,512,2880,1800,13,Intel,Arc,Arc Graphics,,Integrated,Windows,1
hp,HP OmniBook Ultra Flip Next Gen AI 14-fh0026TU,Convertible,168569,71,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,16,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
hp,HP OmniBook Ultra Flip Next Gen AI 14-fh0029TU,Convertible,191925,74,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,32,1024,2880,1800,14,Intel,Arc,Arc Graphics,,Integrated,Windows,1
hp,HP ZBook Firefly 14 G11 A1VL0PT,General,131999,73,Intel,Core Ultra,Core Ultra 7,155H,H,16,22,6,8,2,16,1024,1920,1200,14,NVIDIA,GeForce RTX,RTX A500,4,Dedicated,Windows,1
lenovo,Lenovo Yoga Slim 7i Aura Edition (Intel Core Ultra 7 258V/ 32GB/ 1TB/ Win11),Convertible,147750,73,Intel,Core Ultra,Core Ultra 7,258V,V,8,8,4,4,,32,1024,2880,1800,15,Intel,Arc,Arc Graphics,,Integrated,Windows,1
dell,Dell Latitude 3440 (1355UU / 8GB / 512GB / Integrated Graphics / Windows),Business,87511,46,Intel,Core,Core I7,1355U,U,10,12,2,8,,8,512,1920,1080,14,Intel,Integrated Graphics,Integrated Graphics,,Integrated,Windows,1
